zipcode,providers,geom_wkt
06089,Provider 1308|Provider 1413|Provider 2365|Provider 2810|Provider 435|Provider 442|Provider 520|Provider 892|Provider 999,"POLYGON ((-72.80727 41.84716, -72.81016 41.85097, -72.80934 41.85469, -72.81172 41.85573, -72.81279 41.85416, -72.81900 41.85432, -72.82095 41.85733, -72.82306 41.85685, -72.82731 41.85414, -72.82815 41.84951, -72.82568 41.84894, -72.82352 41.84715, -72.82344 41.84476, -72.83224 41.84475, -72.83292 41.84259, -72.83031 41.84186, -72.83868 41.83216, -72.84082 41.82332, -72.84003 41.82022, -72.81968 41.82245, -72.81770 41.82585, -72.81236 41.82886, -72.80870 41.83311, -72.81019 41.84055, -72.80893 41.84349, -72.80674 41.84514, -72.80727 41.84716))"
06095,Provider 1308|Provider 1413|Provider 2365|Provider 2810|Provider 435|Provider 442|Provider 520|Provider 892|Provider 999,"POLYGON ((-72.73839 41.89265, -72.74310 41.87738, -72.71770 41.87197, -72.69768 41.86751, -72.68969 41.86624, -72.68952 41.86015, -72.68823 41.83880, -72.68681 41.82357, -72.68614 41.80290, -72.66348 41.80653, -72.66274 41.80563, -72.66286 41.80149, -72.65875 41.80130, -72.65833 41.80310, -72.65574 41.80599, -72.64564 41.80583, -72.64425 41.81307, -72.64039 41.82524, -72.63893 41.82875, -72.62994 41.83720, -72.62561 41.84573, -72.61926 41.86830, -72.61947 41.87955, -72.62045 41.88714, -72.62044 41.89040, -72.62154 41.89318, -72.62068 41.89771, -72.62173 41.90460, -72.63275 41.90350, -72.63571 41.90344, -72.63911 41.89921, -72.64085 41.90052, -72.65939 41.90684, -72.66398 41.90892, -72.67269 41.91503, -72.67637 41.91681, -72.67956 41.91757, -72.68614 41.91810, -72.69322 41.92009, -72.69591 41.92243, -72.70350 41.92470, -72.71364 41.92700, -72.72221 41.92793, -72.72922 41.91559, -72.73773 41.89261, -72.73839 41.89265))"
06088,Provider 1308|Provider 1413|Provider 2365|Provider 2810|Provider 435|Provider 442|Provider 520|Provider 623|Provider 892|Provider 999,"POLYGON ((-72.57737 41.93866, -72.59794 41.93674, -72.60693 41.93610, -72.62343 41.93430, -72.62409 41.92919, -72.62268 41.91711, -72.62173 41.90460, -72.62068 41.89771, -72.62154 41.89318, -72.62044 41.89040, -72.62045 41.88714, -72.61947 41.87955, -72.61926 41.86830, -72.61660 41.86860, -72.60560 41.86804, -72.58799 41.86831, -72.58808 41.87239, -72.58699 41.87439, -72.58988 41.87683, -72.58628 41.88063, -72.58182 41.88002, -72.57887 41.88332, -72.57833 41.88635, -72.57406 41.88656, -72.57282 41.89421, -72.57313 41.89633, -72.57188 41.90418, -72.56909 41.90641, -72.56646 41.91000, -72.56284 41.91186, -72.56448 41.91398, -72.56221 41.91608, -72.56318 41.92182, -72.56769 41.92326, -72.56710 41.92471, -72.56984 41.92777, -72.57020 41.93457, -72.57285 41.93716, -72.57643 41.93624, -72.57737 41.93866))"
06096,Provider 1308|Provider 1413|Provider 2365|Provider 2810|Provider 435|Provider 442|Provider 520|Provider 623|Provider 892|Provider 999,"POLYGON ((-72.69591 41.92243, -72.69322 41.92009, -72.68614 41.91810, -72.67956 41.91757, -72.67637 41.91681, -72.67269 41.91503, -72.66398 41.90892, -72.65939 41.90684, -72.64085 41.90052, -72.63911 41.89921, -72.63571 41.90344, -72.63275 41.90350, -72.62173 41.90460, -72.62268 41.91711, -72.62409 41.92919, -72.62343 41.93430, -72.61396 41.94347, -72.62453 41.94389, -72.63768 41.94472, -72.65174 41.94608, -72.65951 41.94631, -72.68764 41.94810, -72.68819 41.94620, -72.69356 41.94650, -72.69755 41.94512, -72.69909 41.94033, -72.70265 41.93907, -72.70375 41.93690, -72.70347 41.93339, -72.70170 41.93301, -72.70293 41.92987, -72.69906 41.92893, -72.69353 41.92850, -72.69591 41.92243))"
06118,Provider 1011|Provider 1308|Provider 1413|Provider 1465|Provider 2365|Provider 2810|Provider 435|Provider 442|Provider 520,"POLYGON ((-72.57847 41.77401, -72.58259 41.77305, -72.59082 41.77280, -72.60203 41.77123, -72.60249 41.77172, -72.61121 41.76992, -72.61866 41.76800, -72.61852 41.76743, -72.63443 41.76315, -72.63986 41.76320, -72.64331 41.76373, -72.64527 41.76142, -72.64368 41.75856, -72.64702 41.75747, -72.65041 41.75542, -72.65594 41.75430, -72.65389 41.75299, -72.64904 41.75020, -72.64464 41.74570, -72.64254 41.73990, -72.64264 41.73520, -72.64784 41.72790, -72.63634 41.72490, -72.63094 41.72566, -72.62896 41.72383, -72.62650 41.72436, -72.62710 41.72617, -72.62257 41.72695, -72.60395 41.72945, -72.59777 41.73055, -72.57123 41.73380, -72.57563 41.75706, -72.57847 41.77401))"
06756,Provider 1308|Provider 1413|Provider 2810|Provider 435|Provider 520|Provider 892,"POLYGON ((-73.28870 41.82390, -73.29292 41.80862, -73.28964 41.80541, -73.28795 41.80153, -73.28648 41.80160, -73.28190 41.80460, -73.27531 41.80669, -73.27423 41.80403, -73.27474 41.79824, -73.27652 41.79470, -73.27520 41.79279, -73.27280 41.79301, -73.26775 41.79460, -73.26175 41.79507, -73.25925 41.79586, -73.25843 41.79387, -73.25952 41.79192, -73.25894 41.78922, -73.25995 41.78393, -73.24773 41.78556, -73.23786 41.78643, -73.22460 41.78814, -73.20184 41.79001, -73.19752 41.80451, -73.18328 41.85195, -73.18224 41.85609, -73.17771 41.87082, -73.18202 41.87421, -73.18543 41.87434, -73.18918 41.88087, -73.19202 41.88280, -73.19507 41.88363, -73.19595 41.88623, -73.20097 41.88702, -73.20620 41.89028, -73.20828 41.89090, -73.21179 41.89457, -73.21245 41.89874, -73.21246 41.90303, -73.21597 41.90302, -73.22016 41.90701, -73.22303 41.91148, -73.22263 41.91516, -73.26304 41.91618, -73.26712 41.90134, -73.26508 41.90031, -73.26596 41.89694, -73.26821 41.89813, -73.27154 41.88633, -73.27511 41.87376, -73.28870 41.82390))"
06755,Provider 1308|Provider 1413|Provider 162|Provider 1719|Provider 2365|Provider 2810|Provider 435|Provider 892,"POLYGON ((-73.50692 41.66580, -73.50693 41.66403, -73.50395 41.66177, -73.49795 41.65889, -73.49486 41.66121, -73.49365 41.66086, -73.49189 41.65601, -73.49032 41.65328, -73.48469 41.64743, -73.48807 41.64565, -73.49003 41.64641, -73.49377 41.64469, -73.49629 41.64250, -73.49598 41.64039, -73.49781 41.63815, -73.49208 41.62510, -73.48895 41.61843, -73.48559 41.61952, -73.48413 41.62225, -73.48218 41.62819, -73.48123 41.63295, -73.47971 41.63527, -73.47733 41.63510, -73.47670 41.63068, -73.47359 41.62906, -73.47508 41.62413, -73.47322 41.62181, -73.47091 41.62176, -73.46825 41.62470, -73.46617 41.62515, -73.46059 41.61850, -73.45592 41.61680, -73.44962 41.61331, -73.44987 41.61483, -73.45732 41.61826, -73.46004 41.62046, -73.46268 41.62663, -73.46864 41.63202, -73.47274 41.63443, -73.47432 41.63999, -73.47637 41.64389, -73.47607 41.64679, -73.47373 41.64609, -73.46977 41.65035, -73.46734 41.65105, -73.46791 41.65405, -73.46608 41.65950, -73.46723 41.66055, -73.46200 41.66650, -73.46221 41.66922, -73.45706 41.67253, -73.45633 41.67497, -73.46810 41.67341, -73.50186 41.66954, -73.50408 41.66910, -73.50692 41.66580))"
06782,Provider 1308|Provider 1413|Provider 2365|Provider 2810|Provider 435|Provider 520|Provider 644|Provider 892|Provider 999,"POLYGON ((-73.05572 41.70289, -73.05897 41.68270, -73.06079 41.67430, -73.06020 41.67428, -73.06117 41.66520, -73.06409 41.64487, -73.06482 41.64104, -73.06399 41.63957, -73.05036 41.60975, -73.03616 41.61520, -73.03478 41.61513, -73.03372 41.61720, -73.03269 41.62178, -73.03055 41.62562, -73.03337 41.62581, -73.03235 41.62779, -73.03281 41.63016, -73.03171 41.63297, -73.02975 41.63458, -73.03099 41.63814, -73.03116 41.64133, -73.03387 41.64576, -73.03485 41.65371, -73.03605 41.65711, -73.03613 41.67504, -73.04042 41.67437, -73.03993 41.67636, -73.04263 41.68009, -73.04370 41.68341, -73.04234 41.68523, -73.03893 41.68585, -73.03132 41.68603, -73.03415 41.69495, -73.04083 41.69275, -73.04102 41.69443, -73.04309 41.69792, -73.04470 41.69802, -73.04462 41.70279, -73.04848 41.70328, -73.05408 41.70258, -73.05572 41.70289))"
06461,Provider 1308|Provider 1413|Provider 2365|Provider 2439|Provider 2810|Provider 435|Provider 520|Provider 644,"POLYGON ((-73.11057 41.20027, -73.10741 41.19997, -73.10130 41.20252, -73.09357 41.20519, -73.09437 41.20800, -73.10440 41.20669, -73.08369 41.21206, -73.07676 41.21512, -73.07089 41.22606, -73.06726 41.22906, -73.07139 41.23196, -73.06933 41.23340, -73.06396 41.23159, -73.06280 41.23353, -73.05940 41.23224, -73.05458 41.23300, -73.04839 41.23232, -73.04483 41.23237, -73.04135 41.23457, -73.03515 41.23936, -73.02774 41.24551, -73.02793 41.24865, -73.02669 41.25027, -73.02698 41.25231, -73.03031 41.25278, -73.04414 41.25682, -73.05151 41.25950, -73.07228 41.26972, -73.07856 41.27335, -73.08685 41.27660, -73.08868 41.27174, -73.08775 41.26530, -73.08785 41.26010, -73.08675 41.25460, -73.08735 41.25179, -73.09115 41.24648, -73.09340 41.24462, -73.10157 41.24009, -73.10495 41.23660, -73.10995 41.22940, -73.11045 41.22530, -73.10835 41.21830, -73.11025 41.21400, -73.11065 41.20780, -73.10925 41.20410, -73.11057 41.20027))"
06710,Provider 1308|Provider 1413|Provider 2365|Provider 2810|Provider 435|Provider 520|Provider 644|Provider 892,"POLYGON ((-73.05005 41.55835, -73.04259 41.55840, -73.03856 41.56003, -73.03767 41.56293, -73.04050 41.56557, -73.04075 41.57003, -73.04195 41.57215, -73.04104 41.57684, -73.03831 41.57846, -73.03750 41.58216, -73.03910 41.58346, -73.04172 41.58157, -73.04577 41.58169, -73.04686 41.57896, -73.04905 41.57936, -73.05376 41.56981, -73.05360 41.56407, -73.05201 41.56075, -73.05005 41.55835))"
